"","word","score"
"1","breathtaking",5
"2","hurrah",5
"3","outstanding",5
"4","superb",5
"5","thrilled",5
"6","amazing",4
"7","awesome",4
"8","brilliant",4
"9","ecstatic",4
"10","euphoric",4
"11","exuberant",4
"12","fabulous",4
"13","fantastic",4
"14","fun",4
"15","funnier",4
"16","funny",4
"17","godsend",4
"18","heavenly",4
"19","lifesaver",4
"20","lmao",4
"21","lmfao",4
"22","masterpiece",4
"23","masterpieces",4
"24","miracle",4
"25","overjoyed",4
"26","rapturous",4
"27","rejoice",4
"28","rejoiced",4
"29","rejoices",4
"30","rejoicing",4
"31","rofl",4
"32","roflcopter",4
"33","roflmao",4
"34","rotfl",4
"35","rotflmfao",4
"36","rotflol",4
"37","stunning",4
"38","terrific",4
"39","triumph",4
"40","triumphant",4
"41","win",4
"42","winner",4
"43","winning",4
"44","wins",4
"45","wonderful",4
"46","wooo",4
"47","woow",4
"48","wow",4
"49","wowow",4
"50","wowww",4
"51","admire",3
"52","admired",3
"53","admires",3
"54","admiring",3
"55","adorable",3
"56","adore",3
"57","adored",3
"58","adores",3
"59","affection",3
"60","affectionate",3
"61","amuse",3
"62","amused",3
"63","amusement",3
"64","amusements",3
"65","astound",3
"66","astounded",3
"67","astounding",3
"68","astoundingly",3
"69","astounds",3
"70","audacious",3
"71","award",3
"72","awarded",3
"73","awards",3
"74","beatific",3
"75","beauties",3
"76","beautiful",3
"77","beautifully",3
"78","beautify",3
"79","beloved",3
"80","best",3
"81","blessing",3
"82","bliss",3
"83","blissful",3
"84","blockbuster",3
"85","breakthrough",3
"86","captivated",3
"87","celebrate",3
"88","celebrated",3
"89","celebrates",3
"90","celebrating",3
"91","charm",3
"92","charming",3
"93","cheery",3
"94","classy",3
"95","cool stuff",3
"96","dearly",3
"97","delight",3
"98","delighted",3
"99","delighting",3
"100","delights",3
"101","devoted",3
"102","elated",3
"103","elation",3
"104","enrapture",3
"105","enthral",3
"106","enthusiastic",3
"107","euphoria",3
"108","excellence",3
"109","excellent",3
"110","excite",3
"111","excited",3
"112","excitement",3
"113","exciting",3
"114","exhilarated",3
"115","exhilarates",3
"116","exhilarating",3
"117","exultant",3
"118","exultantly",3
"119","faithful",3
"120","fan",3
"121","fascinate",3
"122","fascinated",3
"123","fascinates",3
"124","fascinating",3
"125","ftw",3
"126","gallant",3
"127","gallantly",3
"128","gallantry",3
"129","genial",3
"130","glad",3
"131","glamorous",3
"132","glamourous",3
"133","glee",3
"134","gleeful",3
"135","good",3
"136","goodness",3
"137","gracious",3
"138","grand",3
"139","grateful",3
"140","great",3
"141","greater",3
"142","greatest",3
"143","haha",3
"144","hahaha",3
"145","hahahah",3
"146","happiness",3
"147","happy",3
"148","heartfelt",3
"149","heroic",3
"150","humerous",3
"151","impress",3
"152","impressed",3
"153","impresses",3
"154","impressive",3
"155","inspiring",3
"156","joy",3
"157","joyful",3
"158","joyfully",3
"159","joyous",3
"160","jubilant",3
"161","kudos",3
"162","lawl",3
"163","lol",3
"164","lovable",3
"165","love",3
"166","loved",3
"167","lovelies",3
"168","lovely",3
"169","loyal",3
"170","loyalty",3
"171","luck",3
"172","luckily",3
"173","lucky",3
"174","marvel",3
"175","marvelous",3
"176","marvels",3
"177","medal",3
"178","merry",3
"179","mirth",3
"180","mirthful",3
"181","mirthfully",3
"182","nice",3
"183","ominous",3
"184","once-in-a-lifetime",3
"185","paradise",3
"186","perfect",3
"187","perfectly",3
"188","pleasant",3
"189","pleased",3
"190","pleasure",3
"191","popular",3
"192","praise",3
"193","praised",3
"194","praises",3
"195","praising",3
"196","prosperous",3
"197","right direction",3
"198","rigorous",3
"199","rigorously",3
"200","scoop",3
"201","sexy",3
"202","soothe",3
"203","soothed",3
"204","soothing",3
"205","sparkle",3
"206","sparkles",3
"207","sparkling",3
"208","splendid",3
"209","successful",3
"210","super",3
"211","vibrant",3
"212","vigilant",3
"213","visionary",3
"214","vitality",3
"215","vivacious",3
"216","wealth",3
"217","winwin",3
"218","won",3
"219","woo",3
"220","woohoo",3
"221","worshiped",3
"222","yummy",3
"223","abilities",2
"224","ability",2
"225","absolve",2
"226","absolved",2
"227","absolves",2
"228","absolving",2
"229","accomplish",2
"230","accomplished",2
"231","accomplishes",2
"232","acquit",2
"233","acquits",2
"234","acquitted",2
"235","acquitting",2
