city,latlon
"Fairless Hills (USA, PA)","('40.17888889000000318674210575409233570098876953125', '-74.853055560000001378284650854766368865966796875')"
Blacktown (Australia),"('-33.77111110999999965542883728630840778350830078125', '150.906388889999988123236107639968395233154296875')"
"Winter Park (USA, FL)","('28.596111109999998944886101526208221912384033203125', '-81.3466666700000047285357140935957431793212890625')"
Ajman (United Arab Emirates),"('25.413611110000001502839950262568891048431396484375', '55.445555560000002515153028070926666259765625')"
Medicine Hat (Canada),"('50.0416666699999979073254507966339588165283203125', '-110.6774999999999948840923025272786617279052734375')"
Saxonwold (South Africa),"('-26.156388889999998781377144041471183300018310546875', '28.040555560000001378284650854766368865966796875')"
Yinchuan (China),"('38.46666667000000217058186535723507404327392578125', '106.26666667000000643383827991783618927001953125')"
"Osseo (USA, MN)","('45.11944444000000231653757509775459766387939453125', '-93.402500000000003410605131648480892181396484375')"
Kitami (Japan),"('43.7999999999999971578290569595992565155029296875', '143.900000000000005684341886080801486968994140625')"
"Hendersonville (USA, NC)","('35.320555560000002515153028070926666259765625', '-82.4616666699999996126280166208744049072265625')"
"Coatesville (USA, IN)","('39.6875', '-86.6691666699999956335886963643133640289306640625')"
"Coalinga (USA, CA)","('36.13972222000000300567990052513778209686279296875', '-120.3602777800000040997474570758640766143798828125')"
"Greenbelt (USA, MD)","('38.99467010000000044556145439855754375457763671875', '-76.8853988999999984343958203680813312530517578125')"
"Wesley Chapel (USA, FL)","('28.17861110999999851856046007014811038970947265625', '-82.350555560000003652021405287086963653564453125')"
Saint Michel-sur-Meurthe (France),"('48.31830000000000069348971010185778141021728515625', '6.88750000000000017763568394002504646778106689453125')"
"Bridgeville (USA, PA)","('40.35694443999999947436663205735385417938232421875', '-80.108611109999998234343365766108036041259765625')"
Martigues (France),"('43.4052999999999968849806464277207851409912109375', '5.04750000000000031974423109204508364200592041015625')"
Bruz (France),"('48.02559999999999718056642450392246246337890625', '-1.7446999999999999175770426518283784389495849609375')"
"Chester (USA, VA)","('37.35333332999999811363522894680500030517578125', '-77.4358333299999941345959086902439594268798828125')"
Alajuela (Costa Rica),"('10.01666666999999932841092231683433055877685546875', '-84.21666666999999506515450775623321533203125')"
"Leeds (USA, AL)","('33.54559199999999918873072601854801177978515625', '-86.55738800000000310319592244923114776611328125')"
