,genre,genre_full,plot
Marius,Comedy,"Comedy, Drama, Romance",Marius is faced with a choice whether to fulfill his passion by sailing the seas or stay and marry the woman he loves.
Duck Soup,Comedy,"Comedy, Musical, War",Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.
She Done Him Wrong,Comedy,"Comedy, Drama, History","In the Gay Nineties, a seductive nightclub singer contends with several suitors, including a jealous escaped convict and a handsome temperance league member."
It Happened One Night,Comedy,"Comedy, Romance",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
The Thin Man,Comedy,"Comedy, Crime, Mystery","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
A Night at the Opera,Comedy,"Comedy, Music, Musical",A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.
Modern Times,Comedy,"Comedy, Drama, Family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Bringing Up Baby,Comedy,"Comedy, Family, Romance","While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby."
The Rules of the Game,Comedy,"Comedy, Drama","A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
His Girl Friday,Comedy,"Comedy, Drama, Romance",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.
The Mark of Zorro,Action,"Action, Adventure, Romance",A young aristocrat must masquerade as a fop in order to maintain his secret identity of Zorro as he restores justice to early California.
The Philadelphia Story,Comedy,"Comedy, Romance","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
The Shop Around the Corner,Comedy,"Comedy, Drama, Romance","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
Sullivan's Travels,Comedy,"Adventure, Comedy, Drama","A director of escapist films goes on the road as a hobo to learn about life, which gives him a rude awakening."
Kate & Leopold,Comedy,"Comedy, Fantasy, Romance",An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.
Arsenic and Old Lace,Comedy,"Comedy, Crime, Thriller","A drama critic learns on his wedding day that his beloved maiden aunts are homicidal maniacs, and that insanity runs in his family."
To Have and Have Not,Comedy,"Adventure, Comedy, Romance","During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer."
White Heat,Action,"Action, Crime, Drama","A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist. Shortly after the plan takes place, events take a crazy turn."
Born Yesterday,Comedy,"Comedy, Drama, Romance","A tycoon hires a tutor to teach his lover proper etiquette, with unexpected results."
Harvey,Comedy,"Comedy, Drama, Fantasy","Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
High Noon,Action,"Action, Drama, Thriller","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train."
The Quiet Man,Comedy,"Comedy, Drama, Romance","A retired American boxer returns to the village of his birth in Ireland, where he finds love."
Singin' in the Rain,Comedy,"Comedy, Musical, Romance",A silent film production company and cast make a difficult transition to sound.
How to Marry a Millionaire,Comedy,"Comedy, Drama, Romance","Three women set out to find eligible millionaires to marry, but find true love in the process."
Roman Holiday,Comedy,"Comedy, Romance",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
Stalag 17,Comedy,"Comedy, Drama, War","When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer."
"The Long, Long Trailer",Comedy,"Comedy, Romance","Nicky and Tacy are going to be married. Nicky wants to save up money for a house, but Tacy dreams of starting off with their own home on wheels--a trailer. After the two are hitched, they ..."
There's No Business Like Show Business,Comedy,"Comedy, Drama, Musical","Molly and Terry Donahue, plus their three children, are The Five Donahues. Son Tim meets hat-check girl Vicky and the family act begins to fall apart."
White Christmas,Comedy,"Comedy, Musical, Romance",A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.
It's a Dog's Life,Comedy,"Drama, Comedy","A bull terrier tells his life story, from the streets of the Bowery to a life of luxury."
Oklahoma!,Comedy,"Comedy, Drama, Musical","In Oklahoma, several farmers, cowboys and a traveling salesman compete for the romantic favors of various local ladies."
Forbidden Planet,Action,"Action, Adventure, Sci-Fi",A starship crew goes to investigate the silence of a planet's colony only to find two survivors and a deadly secret that one of them has.
The Girl Can't Help It,Comedy,"Comedy, Music",A gangster hires a down-and-out press agent to make his airheaded girlfriend a singing star.
Desk Set,Comedy,"Comedy, Romance",Two extremely strong personalities clash over the computerization of a television network's research department.
Auntie Mame,Comedy,"Comedy, Drama, Romance",An orphan goes to live with his free-spirited aunt. Conflict ensues when the executor of his father's estate objects to the aunt's lifestyle.
Some Like It Hot,Comedy,"Comedy, Romance","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
The Apartment,Comedy,"Comedy, Drama, Romance","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
Breakfast at Tiffany's,Comedy,"Comedy, Drama, Romance","A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
Pigs and Battleships,Comedy,"Comedy, Crime, Drama",A young hoodlum decides to work for a criminal organization that is tearing itself apart.
Flower Drum Song,Comedy,"Comedy, Musical, Romance","A young woman arrives in San Francisco's Chinatown from Hong Kong with the intention of marrying a rakish nightclub owner, unaware he is involved with one of his singers."
Pocketful of Miracles,Comedy,"Comedy, Drama",A New York gangster and his girlfriend attempt to turn street beggar Apple Annie into a society lady when the peddler learns her daughter is marrying royalty.
